date,status,clean_candidate,has_reference,reference_within_tolerance,candidate_ohlc_valid,source_tick_issue,rounded_to_tick,max_abs_ohlc_diff,source_open,candidate_open,reference_open,open_abs_diff,source_high,candidate_high,reference_high,high_abs_diff,source_low,candidate_low,reference_low,low_abs_diff,source_close,candidate_close,reference_close,close_abs_diff,candidate_volume
2021-09-10,clean,True,True,True,True,False,False,0.0,15561.0,15561.0,15561.0,0.0,15668.0,15668.0,15668.0,0.0,15433.5,15433.5,15433.5,0.0,15441.5,15441.5,15441.5,0.0,402820.0
2021-09-11,no_reference,False,False,False,True,True,True,,15447.8,15447.75,,,15447.8,15447.75,,,15447.75,15447.75,,,15447.75,15447.75,,,396890.0
2021-09-13,clean,True,True,True,True,False,False,0.0,15452.5,15452.5,15452.5,0.0,15565.0,15565.0,15565.0,0.0,15350.25,15350.25,15350.25,0.0,15436.75,15436.75,15436.75,0.0,363280.0
2021-09-14,clean,True,True,True,True,False,False,0.0,15452.25,15452.25,15452.25,0.0,15530.75,15530.75,15530.75,0.0,15351.25,15351.25,15351.25,0.0,15387.0,15387.0,15387.0,0.0,237820.0
2021-09-15,clean,True,True,True,True,False,False,0.0,15395.5,15395.5,15395.5,0.0,15521.75,15521.75,15521.75,0.0,15315.25,15315.25,15315.25,0.0,15504.0,15504.0,15504.0,0.0,156770.0
2021-09-16,clean,True,True,True,True,False,False,0.0,15516.5,15516.5,15516.5,0.0,15542.0,15542.0,15542.0,0.0,15369.5,15369.5,15369.5,0.0,15517.75,15517.75,15517.75,0.0,105430.0
2021-09-17,clean,True,True,True,True,True,True,0.080078125,15502.75,15502.75,15502.75,0.0,15547.0,15547.0,15547.0,0.0,15474.0,15474.0,15474.0,0.0,15486.67,15486.75,15486.669921875,0.080078125,7470.0
2021-09-20,clean,True,True,True,True,False,False,0.0,15284.0,15284.0,15284.0,0.0,15338.25,15338.25,15338.25,0.0,14807.5,14807.5,14807.5,0.0,15009.5,15009.5,15009.5,0.0,845910.0
2021-09-21,clean,True,True,True,True,False,False,0.0,14992.0,14992.0,14992.0,0.0,15163.25,15163.25,15163.25,0.0,14963.25,14963.25,14963.25,0.0,15024.0,15024.0,15024.0,0.0,659780.0
2021-09-22,clean,True,True,True,True,False,False,0.0,14992.75,14992.75,14992.75,0.0,15227.0,15227.0,15227.0,0.0,14930.5,14930.5,14930.5,0.0,15163.5,15163.5,15163.5,0.0,601010.0
