session_date,symbol,volume,rows
2022-04-26,NQM2,745995.0,1380.0
2022-04-27,NQM2,809634.0,1380.0
2022-04-28,NQM2,745221.0,1380.0
2022-04-29,NQM2,713924.0,1380.0
2022-05-02,NQM2,754546.0,1380.0
2022-05-03,NQM2,655425.0,1380.0
2022-05-04,NQM2,694891.0,1380.0
2022-05-05,NQM2,864490.0,1380.0
2022-05-06,NQM2,841092.0,1380.0
2022-05-09,NQM2,799543.0,1380.0
2022-05-10,NQM2,839291.0,1380.0
2022-05-11,NQM2,851978.0,1380.0
2022-05-12,NQM2,868922.0,1380.0
2022-05-13,NQM2,652766.0,1380.0
2022-05-16,NQM2,619832.0,1380.0
2022-05-17,NQM2,647510.0,1380.0
2022-05-18,NQM2,725133.0,1380.0
2022-05-19,NQM2,820510.0,1380.0
2022-05-20,NQM2,793434.0,1380.0
2022-05-23,NQM2,652250.0,1380.0
2022-05-24,NQM2,707631.0,1380.0
2022-05-25,NQM2,663592.0,1380.0
2022-05-26,NQM2,603902.0,1379.0
2022-05-27,NQM2,598888.0,1380.0
2022-05-30,NQM2,126831.0,1140.0
2022-05-31,NQM2,694323.0,1380.0
